date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2018-11-27,171.51,174.77,170.88,174.24,41387377,41387377,-0.38,-0.218,173.289,27-Nov,0
2018-11-28,176.73,181.29,174.93,180.94,46062539,46062539,6.7,3.845,178.1889,28-Nov,0.038452709
2018-11-29,182.66,182.8,177.7,179.55,41769992,41769992,-1.39,-0.768,179.3465,29-Nov,0.030475207
2018-11-30,180.29,180.33,177.03,178.58,39531549,39531549,-0.97,-0.54,178.2914,30-Nov,0.024908173
2018-12-03,184.46,184.94,181.21,184.82,40798002,40798002,6.24,3.494,182.9573,03-Dec,0.060720845
2018-12-04,180.95,182.3899,176.27,176.69,41344282,41344282,-8.13,-4.399,178.7221,04-Dec,0.014061065
2018-12-06,171.76,174.78,170.42,174.72,43098410,43098410,-1.97,-1.115,172.4285,06-Dec,0.002754821
2018-12-07,173.49,174.49,168.3,168.49,42281631,42281631,-6.23,-3.566,170.4207,07-Dec,-0.033000459
2018-12-10,165,170.09,163.33,169.6,62025994,62025994,1.11,0.659,166.9123,10-Dec,-0.026629936
2018-12-11,171.66,171.79,167,168.63,47281665,47281665,-0.97,-0.572,168.9359,11-Dec,-0.03219697
2018-12-12,170.4,171.92,169.02,169.1,35627674,35627674,0.47,0.279,170.3124,12-Dec,-0.029499541
2018-12-13,170.49,172.57,169.55,170.95,31897827,31897827,1.85,1.094,170.9691,13-Dec,-0.018882002
2018-12-14,169,169.08,165.28,165.48,40703710,40703710,-5.47,-3.2,166.6283,14-Dec,-0.050275482
2018-12-17,165.45,168.35,162.73,163.94,44287922,44287922,-1.54,-0.931,165.495,17-Dec,-0.059113866
2018-12-18,165.38,167.53,164.39,166.07,33841518,33841518,2.13,1.299,165.89,18-Dec,-0.046889348
2018-12-19,166,167.45,159.09,160.89,49047297,49047297,-5.18,-3.119,163.2712,19-Dec,-0.076618457
2018-12-20,160.4,162.11,155.3,156.83,64772960,64772960,-4.06,-2.523,158.3974,20-Dec,-0.099919651
2018-12-21,156.86,158.16,149.63,150.73,95744384,95744384,-6.1,-3.89,153.0778,21-Dec,-0.134928834
2018-12-24,148.15,151.55,146.59,146.83,37169232,37169232,-3.9,-2.587,148.759,24-Dec,-0.157311754
2018-12-26,148.3,157.23,146.72,157.17,58582544,58582544,10.34,7.042,151.4801,26-Dec,-0.09796832